split,seed,model_key,model,model_group,best_epoch,stopped_epoch,stop_reason,best_valid_score,early_stopping_metric,auc,ap,pos_mean_score,neg_mean_score,mrr,hits@1,hits@3,hits@5,hits@10
test,42,gcn,GCN,gnn_model,495,500,max_epoch,0.4615002656945735,mrr,0.8961213537035463,0.9012985755050762,0.8986918926239014,-5.612553119659424,0.45875354252932604,0.29531812725090034,0.539015606242497,0.6608643457382953,0.7941176470588235
test,43,gcn,GCN,gnn_model,500,500,max_epoch,0.46609284965281716,mrr,0.8982185911579519,0.9050774190749191,1.0979329347610474,-5.793646335601807,0.4644891274734926,0.30612244897959184,0.5516206482593037,0.6578631452581032,0.7863145258103241
test,44,gcn,GCN,gnn_model,490,500,max_epoch,0.45031872301903975,mrr,0.895824836537256,0.8993971250353208,1.2981352806091309,-5.1574530601501465,0.4511554229203874,0.2917166866746699,0.5294117647058824,0.6458583433373349,0.7791116446578632
test,42,graphsage,GraphSAGE,gnn_model,495,500,max_epoch,0.49192356874124127,mrr,0.8914354457269102,0.9041094392687282,0.1490938365459442,-8.528451919555664,0.49163828709031454,0.34513805522208885,0.5714285714285714,0.6578631452581032,0.7887154861944778
test,43,graphsage,GraphSAGE,gnn_model,500,500,max_epoch,0.4691064112511591,mrr,0.8721629107825603,0.890990511515555,0.09175406396389008,-7.203920364379883,0.46037947510819843,0.30912364945978393,0.5474189675870348,0.634453781512605,0.7460984393757503
test,44,graphsage,GraphSAGE,gnn_model,500,500,max_epoch,0.49382237338836743,mrr,0.8882958945883276,0.9012076193710581,0.5531179904937744,-7.607156276702881,0.48484562825855804,0.33013205282112845,0.5762304921968787,0.6728691476590636,0.7911164465786314
test,42,rgcn,R-GCN,gnn_model,495,500,max_epoch,0.5745177339132476,mrr,0.9257229902765429,0.9316465917163079,0.20764672756195068,-11.756552696228027,0.562704797465915,0.4279711884753902,0.6452581032412965,0.7214885954381752,0.8043217286914766
test,43,rgcn,R-GCN,gnn_model,490,500,max_epoch,0.585477400948015,mrr,0.9275352397861907,0.933205120804775,0.06148973107337952,-12.23991584777832,0.5698046093282757,0.4375750300120048,0.6536614645858343,0.7244897959183674,0.8067226890756303
test,44,rgcn,R-GCN,gnn_model,495,500,max_epoch,0.5767122282829861,mrr,0.9228421260460967,0.9292673334772543,0.5292711853981018,-12.096490859985352,0.56181204577272,0.4237695078031212,0.6410564225690276,0.7292917166866747,0.812124849939976
test,42,gatv2,GATv2,gnn_model,490,500,max_epoch,0.6324180827856282,mrr,0.9326235896519472,0.9439673654977044,1.5286803245544434,-10.626106262207031,0.6191419351836359,0.49759903961584634,0.6968787515006002,0.7713085234093637,0.8433373349339736
test,43,gatv2,GATv2,gnn_model,495,500,max_epoch,0.6307325922214092,mrr,0.921985721059132,0.9373413532846672,2.1230509281158447,-10.237223625183105,0.6328902659240125,0.5186074429771909,0.7058823529411765,0.7677070828331333,0.8421368547418968
test,44,gatv2,GATv2,gnn_model,490,500,max_epoch,0.6078854407755325,mrr,0.9241924861180967,0.9375632809048468,1.6840767860412598,-9.683392524719238,0.6103527277440469,0.49459783913565425,0.6758703481392557,0.7442977190876351,0.8271308523409364
test,42,relation_attention_gat,RA-GAT,gnn_model,500,500,max_epoch,0.6344513851262131,mrr,0.9179386040130337,0.9373508141443485,1.2468090057373047,-10.977094650268555,0.6233345451556613,0.5012004801920769,0.7100840336134454,0.7689075630252101,0.8397358943577431
test,43,relation_attention_gat,RA-GAT,gnn_model,475,500,max_epoch,0.631557795781153,mrr,0.9238242716054008,0.9378326581906368,1.7401539087295532,-10.562889099121094,0.6208802680608595,0.5006002400960384,0.7034813925570228,0.7641056422569028,0.8343337334933973
test,44,relation_attention_gat,RA-GAT,gnn_model,495,500,max_epoch,0.6259990282544659,mrr,0.923265104361072,0.9387592876757243,2.001655340194702,-10.2265043258667,0.6113512575999857,0.48259303721488594,0.7004801920768308,0.7725090036014406,0.8415366146458584
