split,seed,model_key,model,model_group,best_epoch,stopped_epoch,stop_reason,best_valid_score,early_stopping_metric,auc,ap,pos_mean_score,neg_mean_score,mrr,hits@1,hits@3,hits@5,hits@10
test,42,semantic_graph_fusion_gat,SGF-GAT,proposed_existing_model,500,500,max_epoch,0.642243923719859,mrr,0.9353163834561435,0.9429097225169224,2.4497549533843994,-14.142452239990234,0.6380645600094906,0.5228091236494598,0.7130852340936374,0.7701080432172869,0.8463385354141657
test,43,semantic_graph_fusion_gat,SGF-GAT,proposed_existing_model,500,500,max_epoch,0.6385635447151284,mrr,0.9200581793341587,0.933908902807761,2.5247960090637207,-12.723029136657715,0.6255768671511194,0.517406962785114,0.6944777911164466,0.7563025210084033,0.8241296518607443
test,44,semantic_graph_fusion_gat,SGF-GAT,proposed_existing_model,490,500,max_epoch,0.6405916091444136,mrr,0.9270953279270893,0.9387572187706071,2.3822836875915527,-12.678154945373535,0.6417679931153137,0.5336134453781513,0.7118847539015606,0.7701080432172869,0.8337334933973589
test,42,enhanced_semantic_graph_fusion_gat,E-SGF-GAT,proposed_enhanced_model,500,500,max_epoch,0.6477975878152415,mrr,0.9401582962116419,0.9476102510793761,2.733572244644165,-12.218875885009766,0.6412178174072458,0.5180072028811524,0.7250900360144058,0.7899159663865546,0.8589435774309724
test,43,enhanced_semantic_graph_fusion_gat,E-SGF-GAT,proposed_enhanced_model,480,500,max_epoch,0.6617134259014624,mrr,0.9472019299916845,0.9532234890491482,3.186570882797241,-12.618071556091309,0.66754543509805,0.5552220888355343,0.7382953181272509,0.8073229291716687,0.868547418967587
test,44,enhanced_semantic_graph_fusion_gat,E-SGF-GAT,proposed_enhanced_model,490,500,max_epoch,0.6776313475776286,mrr,0.9496688231114775,0.9559569502191878,3.17578125,-12.298044204711914,0.6792140620933165,0.5696278511404562,0.7557022809123649,0.8151260504201681,0.8727490996398559
valid,42,semantic_graph_fusion_gat,SGF-GAT,proposed_existing_model,500,500,max_epoch,0.642243923719859,mrr,0.9398765508604403,0.9480857692155087,2.5477821826934814,-14.35621452331543,0.642243923719859,0.521608643457383,0.7250900360144058,0.7953181272509003,0.851140456182473
valid,43,semantic_graph_fusion_gat,SGF-GAT,proposed_existing_model,500,500,max_epoch,0.6385635447151284,mrr,0.9285480098401905,0.9389782414143331,2.7966039180755615,-12.680137634277344,0.6385635447151284,0.5228091236494598,0.7190876350540216,0.773109243697479,0.8397358943577431
valid,44,semantic_graph_fusion_gat,SGF-GAT,proposed_existing_model,490,500,max_epoch,0.6405916091444136,mrr,0.9292631818633816,0.9393977871776307,2.448096513748169,-12.682881355285645,0.6405916091444136,0.5300120048019208,0.7100840336134454,0.7671068427370948,0.826530612244898
valid,42,enhanced_semantic_graph_fusion_gat,E-SGF-GAT,proposed_enhanced_model,500,500,max_epoch,0.6477975878152415,mrr,0.9438998888871274,0.9511649149517614,2.806227922439575,-12.245677947998047,0.6477975878152415,0.5234093637454982,0.7352941176470589,0.7941176470588235,0.868547418967587
valid,43,enhanced_semantic_graph_fusion_gat,E-SGF-GAT,proposed_enhanced_model,480,500,max_epoch,0.6617134259014624,mrr,0.948867902503138,0.9549133100205641,3.1417906284332275,-12.725189208984375,0.6617134259014624,0.5342136854741897,0.7551020408163265,0.8205282112845138,0.8751500600240096
valid,44,enhanced_semantic_graph_fusion_gat,E-SGF-GAT,proposed_enhanced_model,490,500,max_epoch,0.6776313475776286,mrr,0.9532245070897507,0.9589585996143871,3.1950416564941406,-12.271525382995605,0.6776313475776286,0.5618247298919568,0.7581032412965186,0.8223289315726291,0.8733493397358943
